title|content
건물 부문 온실가스 줄이려면 탄소 연말 정산 도입해야|'건설부문 탄소중립 이행 진단 세미나건기연 연구 발표



일 은행회관에서 열린 건물 부문의 탄소중립 이행 진단과 과제 세미나  뉴스서울뉴스 황덕현 기후환경전문  한 해 납부한 세액을 연말 정산하는 것처럼 개별 건축물의 탄소 배출량 정보를 토대로 탄소 연말 정산을 도입해야 한다는 연구가 나왔다 지속해서 증가하고  건물 부문의 온실가스 배출량을 감축하기 위해 대책이 필요하다는 지적이다이승언 한국건설기술연구원 선임연구위원은 일 은행회관에서 열린 건물 부문의 탄소중립 이행 진단과 과제 세미나에서 이같이 밝혔다 이날 세미나는 기후변화센터가 주최하고  탄소중립녹색성장위원회탄녹위가 후원했다이날 행사에는 김소희 기후변화센터 사무총장을 비롯해 김창섭 가천대 전기공학과 교수 이성훈 탄녹위 친환경기후조정국장 김연희 국토교통부 녹색건축과장 김현철 산업통상자원부 에너지효율화과장 등이 참석했다이 선임연구위원은 가정 부문은 도시가스 사용량이 상업 부문은 전력 사용량이 증가 중이라며 건물 부문 탄소 중립이 요원하다고 진단했다그러면서 국민이 체감할 수  건물별 탄소 배출 정보를 제공하고 용도별 탄소 배출 한도를 관리해야 한다 실제 건물의 에너지 사용에 따른 배출을 제로화하는 건물 부문 탄소중립을 위해서 건물 용도와 사용자의 행태에 따른 적정 실사용량 유도를 위한 탄소세 누진세 등 합리적인 정책 도입이 필요하다고 강조했다이 선임연구위원은 건물 부문 탄소중립을 위해서 석유석탄 등 화석연료 퇴출과 탄소중립 건물의 경제성 확보 등이 담보돼야 한다고 덧붙였다'
포항시 북구청 도시 숲 온실가스 배출권 거래제 추진|'연평균 의 온실가스 감축 예상시 녹색 생태도시 변화에 최선



사진은 포항시 북구청 도시 숲 재판매 및  금지포항뉴시스 강진구   경북 포항시는 탄소흡수원으로서 인증받기 위해 온실가스 배출권 거래제에 북구청 도시 숲과 꿈트리센터 도시 숲을 신규사업으로 신청했다고 일 밝혔다 온실가스 배출권 거래제는 국가 온실가스 총배출량 목표를 지키기 위해 온실가스 배출 에 연간 정해진 배출량을 할당하고 부족분과 초과분에 대해 거래를 허용하는 제도다 를 비롯해 세계 여러 나라에서 시행 중인 대표적인 탄소저감 정책이다 포항시 북구청과 꿈트리센터는 원도심의 물리적 환경 쇠퇴와 인구감소 등으로 장기 침체된 부지였으나 도시재생 뉴딜사업을 통해 문화행정과 도시 숲이 어우러진 공간으로 재탄생한 곳이다 북구청 도시 숲은 지역 내 출퇴근 차량의 통행이 많은 곳으로 차량 통행량과 유동인구에 비해 녹지 면적이 현저히 적었던 원도심에 들어서 지역 주민들에게 호평 받고  북구청 도시 숲은 느티나무 외 종 그루의 나무가 식재돼  다양한 교목과 관목으로 시민들의 힐링 공간이 되는 것은 물론 녹지 면적이 부족한 원도심 중심점에서 숲의 기능을 하고 북구청 도시 숲은 산책을 하면서 시민건강 증진과 심리적 안정감까지 주는 힐링공간을 제공하는 것을 넘어 천연 공기청정기의 역할로 미세먼지 저감과 열섬 현상 완화에도 큰 보탬이 되고  국립산림과학원에 따르면 나무 그루는 연간 이산화탄소 을 흡수하고 산소 을 방출하며 도시숲 는 한낮 평균 기온을 도 가량 낮춰주는 기능을 하는 것으로 조사돼 북구청 도시 숲과 꿈트리센터 도시 숲은 연평균 의 온실가스를 감축할 것으로 예상되며 감축량은 거래소를 통해 배출권이 필요한 체에 판매할 수  부가 수익을 창출할 수  됐다 시 관내에는 현재 포항철길숲과 해도도시숲 평생학습원 문화숲 연일근린공원 등 개소가 온실가스 배출권 거래제에 등록돼  이경식 시 그린웨이추진과장은 온실가스 감축을 위해 지역의 도시 숲을 적극 활용해 탄소중립 선도도시로 나아가겠다며 구도심에 도시숲 조성을 통해 지역에 활력을 불어넣고 기후변화 대응능력을 갖춘 녹색 생태도시로 변화하는 데도 최선을 다하겠다고 밝혔다'
광명시 탄소중립 실천 향상 맞춤형 온라인 환경교육 운영|광명시청 전경광명시 제공광명뉴스 유재규   경기 광명시가 탄소중립 실천력을 높이기 위해 맞춤형 온라인 환경교육을 운영한다고 일 밝혔다 시에 따르면 맞춤형 온라인 교육은 대상별로 광명시민 개 강좌 공무원 개 강좌 교원 개 강좌 등 총 개 강좌가 개설된다 교육 내용은 빅데이터와 환경 기후변화와 건강 영향 미래 세대의 에너지 교육 탄소중립 실현을 위한 실천 방법 등 최근 환경 현안을 비롯해 광명시 환경정책과 관련한 탄소중립 실천 방법 등을 중점적으로 구성했다환경정책교육원 국가환경교육센터 온라인플랫폼에 접속해 회원가입 후 수강하면 된다 맞춤형 교육과정뿐만 아니라 관심  주제를 선택해 자유롭게 수강할 수도   휴대전화로 시청 가능하다
상의 원전 등 무탄소에너지 산업경쟁력 제고 수단 활용|서울뉴시스대한상공회의소대한상의와 연합은 일 상의 국제회의장에서 무탄소에너지 잠재력 제고를 위한 세미나를 공동 개최했다 사진  대한상의    재판매 및  금지서울뉴시스이현주   재생에너지원전수소 등 다양한 무탄소에너지를 폭넓게 활용해야만 효과적인 탄소중립이 실현 가능하다는 주장이 나왔다 대한상공회의소대한상의와 연합은 일 상의 국제회의장에서 무탄소에너지 잠재력 제고를 위한 세미나를 공동 개최했다 이번 세미나에는 안덕근 산업부 장관 김상협 탄소중립녹색성장위원회 위원장 등 정부기관장 외에 우태희 대한상의 부회장 주현 산업연구원장 김현제 에너지경제연구원장 등이 참석했다 세미나에서는 우리 이 심화되고  국제 환경 규제에 대응하고 국제 경쟁력을 지속적으로 유지증진하기 위한 무탄소 에너지 활용 및 확대 방안에 대해 유관기관장과 각 분야 전문가들이 해법을 제시했다 이회성 연합 회장은 우리나라가 세계경제에서 기후위기 대응을 선도하고 새로운 국제규범을 설정하며 무탄소화 기술 개발과 확산을 주도하는 것은 우리나라의 국격에 부합하며 이와 같은 활동이 바로  이니셔티브라고 강조했다 안덕근 장관은 우리 의 탄소중립을 지원하기 위해 보조세제융자 기술혁신 등 다양한 노력을 기울여 나감과 함께 주요국과 조속히 무탄소에너지 이행기준을 마련해 국제사회에 통용될 수  노력해나가겠다고 밝혔다토론 참석자들은 첨단산업 등 제조업 비중이 높은 우리 산업의 여건 상 탄소중립 대응과 산업경쟁력 확보를 보다 효과적으로 달성하기 위해서는 다양한 무탄소에너지를 적극 활용해야 하며 무탄소에너지의 잠재력을 실제의 공급 능력 확충으로 연결해야 한다는 데 공감했다김용건 연세대 교수는 특정 기술이나 시나리오에 의존하지 않는 다양한 탄소중립 노력이 필요하다고 주장했으며 주현 산업연구원 원장은 재생원전수소 등 다양한 무탄소에너지의 공급 확대가 필요하다고 밝혔다 박종배 건국대 교수는 재생에너지 원전 등  이용 극대화를 위한 전력망 확충이 필요하다는 의견을 제시했으며 정범진 한국원자력학회장은 소형모듈원전 개발을 통한 원전 경쟁력 유지 등 다양한 의견을 제시했다
